equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_20__rbo_100_equity_constant,12943.646200000003,29.43646200000003,-28.149744226659212,rbo_20__rbo_100,7.0,rbo_20__rbo_100_equity_constant
rsma_50100150__rbo_100_equity_constant,12765.90720000001,27.65907200000011,-26.728521399163146,rsma_50100150__rbo_100,7.0,rsma_50100150__rbo_100_equity_constant
rtt_5020__rbo_100_equity_constant,12765.90720000001,27.65907200000011,-26.728521399163146,rtt_5020__rbo_100,7.0,rtt_5020__rbo_100_equity_constant
rema_50100150__rbo_100_equity_constant,12733.287500000017,27.33287500000017,-26.429798024973284,rema_50100150__rbo_100,4.0,rema_50100150__rbo_100_equity_constant
rema_50100150__rsma_50100150_equity_constant,12714.325700000005,27.14325700000004,-22.992473802922532,rema_50100150__rsma_50100150,6.0,rema_50100150__rsma_50100150_equity_constant
rsma_50100__rbo_100_equity_constant,12480.826400000002,24.808264000000023,-28.577466659455155,rsma_50100__rbo_100,7.0,rsma_50100__rbo_100_equity_constant
rbo_50__rbo_100_equity_constant,12480.826400000002,24.808264000000023,-28.577466659455155,rbo_50__rbo_100,7.0,rbo_50__rbo_100_equity_constant
rema_50100__rbo_100_equity_constant,12449.152399999997,24.491523999999963,-28.287918152271153,rema_50100__rbo_100,4.0,rema_50100__rbo_100_equity_constant
rbo_100__rbo_100_equity_constant,12432.385099999994,24.32385099999994,-28.19127817409385,rbo_100__rbo_100,2.0,rbo_100__rbo_100_equity_constant
rsma_50100150__rema_50100150_equity_constant,12409.774999999996,24.097749999999962,-21.05451640393666,rsma_50100150__rema_50100150,57.0,rsma_50100150__rema_50100150_equity_constant
rbo_100__rsma_50100150_equity_constant,12307.065899999994,23.07065899999994,-24.160240455102397,rbo_100__rsma_50100150,103.0,rbo_100__rsma_50100150_equity_constant
rsma_50100150__rsma_50100150_equity_constant,12271.953500000003,22.719535000000036,-23.17473518463942,rsma_50100150__rsma_50100150,5.0,rsma_50100150__rsma_50100150_equity_constant
rema_50100150__rema_50100150_equity_constant,12168.292099999991,21.68292099999991,-18.488669416474586,rema_50100150__rema_50100150,4.0,rema_50100150__rema_50100150_equity_constant
rsma_100150__rsma_50100150_equity_constant,12133.0699,21.330698999999996,-20.21152418492274,rsma_100150__rsma_50100150,103.0,rsma_100150__rsma_50100150_equity_constant
rsma_50100__rsma_50100150_equity_constant,12030.062699999986,20.30062699999986,-22.412297456872043,rsma_50100__rsma_50100150,103.0,rsma_50100__rsma_50100150_equity_constant
rema_100150__rsma_50100150_equity_constant,11990.936999999993,19.909369999999925,-18.3212232173497,rema_100150__rsma_50100150,103.0,rema_100150__rsma_50100150_equity_constant
rsma_50100150__rsma_100150_equity_constant,11960.057799999995,19.600577999999945,-20.856031899022124,rsma_50100150__rsma_100150,43.0,rsma_50100150__rsma_100150_equity_constant
rema_50100150__rema_100150_equity_constant,11908.168500000005,19.08168500000005,-19.552578871880673,rema_50100150__rema_100150,16.0,rema_50100150__rema_100150_equity_constant
rbo_20__rema_50100150_equity_constant,11813.667499999998,18.13667499999998,-18.236717685483427,rbo_20__rema_50100150,88.0,rbo_20__rema_50100150_equity_constant
rbo_50__rbo_20_equity_convex,11785.678299999978,17.856782999999776,-65.6042473656146,rbo_50__rbo_20,64.0,rbo_50__rbo_20_equity_convex
rema_50100__rsma_50100150_equity_constant,11766.692199999983,17.66692199999984,-20.676427359330386,rema_50100__rsma_50100150,102.0,rema_50100__rsma_50100150_equity_constant
rbo_20__rsma_50100_equity_constant,11759.729199999998,17.597291999999975,-20.923427041224514,rbo_20__rsma_50100,36.0,rbo_20__rsma_50100_equity_constant
rema_100150__rema_50100_equity_constant,11700.538300000006,17.00538300000005,-19.1081756966026,rema_100150__rema_50100,22.0,rema_100150__rema_50100_equity_constant
rsma_50100__rbo_50_equity_convex,11671.121099999986,16.71121099999986,-72.63225408578855,rsma_50100__rbo_50,45.0,rsma_50100__rbo_50_equity_convex
rbo_100__rema_50100_equity_constant,11668.315300000004,16.68315300000003,-22.697776074905367,rbo_100__rema_50100,22.0,rbo_100__rema_50100_equity_constant
rbo_20__rsma_50100150_equity_constant,11634.125000000016,16.341250000000173,-18.680165758790128,rbo_20__rsma_50100150,53.0,rbo_20__rsma_50100150_equity_constant
rsma_50100150__rema_100150_equity_constant,11629.298100000004,16.29298100000003,-17.724021536027635,rsma_50100150__rema_100150,19.0,rsma_50100150__rema_100150_equity_constant
rsma_100150__rsma_100150_equity_constant,11622.684799999999,16.226847999999983,-18.784260779761897,rsma_100150__rsma_100150,3.0,rsma_100150__rsma_100150_equity_constant
rema_50100150__rsma_50100_equity_constant,11618.562900000003,16.185629000000024,-18.89560335747818,rema_50100150__rsma_50100,20.0,rema_50100150__rsma_50100_equity_constant
rema_50100150__rsma_100150_equity_constant,11546.496200000007,15.464962000000071,-17.862043675699432,rema_50100150__rsma_100150,16.0,rema_50100150__rsma_100150_equity_constant
rbo_20__rema_100150_equity_constant,11540.542600000002,15.405426000000034,-17.567376157629326,rbo_20__rema_100150,16.0,rbo_20__rema_100150_equity_constant
rtt_5020__rema_50100150_equity_constant,11534.954999999994,15.349549999999933,-16.183594505162674,rtt_5020__rema_50100150,84.0,rtt_5020__rema_50100150_equity_constant
rsma_100150__rema_50100_equity_constant,11515.844500000003,15.158445000000032,-17.810246709380916,rsma_100150__rema_50100,22.0,rsma_100150__rema_50100_equity_constant
rema_100150__rbo_100_equity_constant,11480.350599999998,14.803505999999977,-16.53265558847288,rema_100150__rbo_100,2.0,rema_100150__rbo_100_equity_constant
rema_100150__rema_100150_equity_constant,11480.350599999998,14.803505999999977,-16.53265558847288,rema_100150__rema_100150,2.0,rema_100150__rema_100150_equity_constant
rbo_20__rsma_100150_equity_constant,11455.06500000001,14.550650000000086,-18.205142677677248,rbo_20__rsma_100150,27.0,rbo_20__rsma_100150_equity_constant
rbo_20__rema_50100_equity_constant,11416.76020000001,14.167602000000091,-19.23646139313621,rbo_20__rema_50100,16.0,rbo_20__rema_50100_equity_constant
rsma_100150__rema_100150_equity_constant,11392.546899999998,13.925468999999978,-16.08825744861262,rsma_100150__rema_100150,2.0,rsma_100150__rema_100150_equity_constant
rsma_100150__rbo_100_equity_constant,11392.546899999998,13.925468999999978,-16.08825744861262,rsma_100150__rbo_100,2.0,rsma_100150__rbo_100_equity_constant
rtt_5020__rema_100150_equity_constant,11381.831099999996,13.81831099999995,-15.934662307439284,rtt_5020__rema_100150,16.0,rtt_5020__rema_100150_equity_constant
rbo_50__rema_100150_equity_constant,11369.7835,13.69783499999999,-19.801859440596502,rbo_50__rema_100150,19.0,rbo_50__rema_100150_equity_constant
rsma_50100__rema_100150_equity_constant,11369.7835,13.69783499999999,-19.801859440596502,rsma_50100__rema_100150,19.0,rsma_50100__rema_100150_equity_constant
rema_50100__rema_100150_equity_constant,11365.123699999993,13.651236999999927,-19.649552318742405,rema_50100__rema_100150,16.0,rema_50100__rema_100150_equity_constant
rbo_100__rema_100150_equity_constant,11349.66989999999,13.4966989999999,-19.539867351738412,rbo_100__rema_100150,14.0,rbo_100__rema_100150_equity_constant
rbo_50__rsma_100150_equity_constant,11321.394799999985,13.213947999999863,-20.32196179495425,rbo_50__rsma_100150,43.0,rbo_50__rsma_100150_equity_constant
rsma_50100__rsma_100150_equity_constant,11321.394799999985,13.213947999999863,-20.32196179495425,rsma_50100__rsma_100150,43.0,rsma_50100__rsma_100150_equity_constant
rtt_5020__rsma_100150_equity_constant,11297.461899999991,12.97461899999992,-16.58411691283234,rtt_5020__rsma_100150,27.0,rtt_5020__rsma_100150_equity_constant
rsma_50100__rtt_5020_equity_convex,11284.696499999993,12.846964999999933,-72.97149360919342,rsma_50100__rtt_5020,42.0,rsma_50100__rtt_5020_equity_convex
rsma_50100150__rsma_50100_equity_constant,11250.666000000003,12.506660000000025,-16.84522248295299,rsma_50100150__rsma_50100,47.0,rsma_50100150__rsma_50100_equity_constant
rema_100150__rsma_100150_equity_constant,11239.85790000001,12.398579000000097,-15.785311306166161,rema_100150__rsma_100150,25.0,rema_100150__rsma_100150_equity_constant
rtt_5020__rbo_20_equity_convex,11220.96960000001,12.209696000000104,-67.38117541290892,rtt_5020__rbo_20,9.0,rtt_5020__rbo_20_equity_convex
rema_50100150__rema_50100_equity_constant,11197.359600000007,11.973596000000075,-18.89560335747818,rema_50100150__rema_50100,21.0,rema_50100150__rema_50100_equity_constant
rsma_50100__rtt_5020_equity_concave,11156.466799999973,11.564667999999735,-74.53330308473613,rsma_50100__rtt_5020,42.0,rsma_50100__rtt_5020_equity_concave
rema_50100__rema_50100150_equity_constant,11145.815899999987,11.458158999999867,-20.72035874236659,rema_50100__rema_50100150,153.0,rema_50100__rema_50100150_equity_constant
rema_50100__rsma_100150_equity_constant,11126.7152,11.267152000000014,-18.927788851438688,rema_50100__rsma_100150,39.0,rema_50100__rsma_100150_equity_constant
rbo_100__rsma_100150_equity_constant,11111.92599999998,11.119259999999787,-18.81940227271942,rbo_100__rsma_100150,37.0,rbo_100__rsma_100150_equity_constant
rbo_100__rema_50100150_equity_constant,11100.199300000007,11.001993000000066,-20.39516968694587,rbo_100__rema_50100150,153.0,rbo_100__rema_50100150_equity_constant
rema_50100150__rbo_20_equity_constant,11038.092000000004,10.380920000000039,-13.619424980183783,rema_50100150__rbo_20,18.0,rema_50100150__rbo_20_equity_constant
rbo_20__rtt_5020_equity_constant,11012.124599999997,10.121245999999973,-19.77578787788437,rbo_20__rtt_5020,5.0,rbo_20__rtt_5020_equity_constant
rbo_100__rtt_5020_equity_constant,10997.724699999997,9.977246999999977,-24.961844395023334,rbo_100__rtt_5020,48.0,rbo_100__rtt_5020_equity_constant
rtt_5020__rsma_50100_equity_constant,10981.603299999984,9.816032999999846,-14.831060648741037,rtt_5020__rsma_50100,24.0,rtt_5020__rsma_50100_equity_constant
rema_50100150__rbo_50_equity_constant,10971.931800000006,9.719318000000055,-18.89560335747818,rema_50100150__rbo_50,22.0,rema_50100150__rbo_50_equity_constant
rema_100150__rsma_50100_equity_constant,10966.597600000008,9.665976000000075,-14.691249394805592,rema_100150__rsma_50100,47.0,rema_100150__rsma_50100_equity_constant
rbo_100__rsma_50100_equity_constant,10918.796299999993,9.187962999999932,-21.579098788268887,rbo_100__rsma_50100,47.0,rbo_100__rsma_50100_equity_constant
rsma_50100150__rema_50100_equity_constant,10895.525600000006,8.955256000000066,-17.639013179784925,rsma_50100150__rema_50100,23.0,rsma_50100150__rema_50100_equity_constant
rema_100150__rbo_20_equity_constant,10855.584300000011,8.555843000000118,-19.59313388517098,rema_100150__rbo_20,85.0,rema_100150__rbo_20_equity_constant
rsma_50100150__rbo_20_equity_constant,10841.529899999996,8.415298999999955,-13.633644657992699,rsma_50100150__rbo_20,37.0,rsma_50100150__rbo_20_equity_constant
rsma_100150__rsma_50100_equity_constant,10791.739100000012,7.917391000000107,-13.975327419544847,rsma_100150__rsma_50100,47.0,rsma_100150__rsma_50100_equity_constant
rema_50100150__rtt_5020_equity_constant,10718.518300000002,7.185183000000017,-19.591154743668554,rema_50100150__rtt_5020,13.0,rema_50100150__rtt_5020_equity_constant
rsma_50100__rema_50100150_equity_constant,10687.0904,6.870903999999989,-17.316723714960908,rsma_50100__rema_50100150,129.0,rsma_50100__rema_50100150_equity_constant
rsma_50100__rbo_20_equity_convex,10684.693199999962,6.846931999999617,-65.30938103016565,rsma_50100__rbo_20,95.0,rsma_50100__rbo_20_equity_convex
rbo_20__rbo_50_equity_constant,10680.064199999977,6.800641999999768,-17.64194154952512,rbo_20__rbo_50,19.0,rbo_20__rbo_50_equity_constant
rema_50100__rema_50100_equity_constant,10672.667899999988,6.72667899999988,-20.94420935476851,rema_50100__rema_50100,4.0,rema_50100__rema_50100_equity_constant
rbo_50__rsma_50100_equity_constant,10670.136999999984,6.70136999999984,-16.465332184728275,rbo_50__rsma_50100,29.0,rbo_50__rsma_50100_equity_constant
rtt_5020__rsma_50100150_equity_constant,10614.376800000013,6.143768000000138,-15.393596298688115,rtt_5020__rsma_50100150,52.0,rtt_5020__rsma_50100150_equity_constant
rema_100150__rtt_5020_equity_constant,10609.932299999999,6.099322999999979,-19.35720041739049,rema_100150__rtt_5020,39.0,rema_100150__rtt_5020_equity_constant
rtt_5020__rema_50100_equity_constant,10609.261000000004,6.092610000000032,-18.159888749764214,rtt_5020__rema_50100,7.0,rtt_5020__rema_50100_equity_constant
rema_50100__rbo_20_equity_convex,10606.60379999996,6.066037999999607,-65.12341169583306,rema_50100__rbo_20,100.0,rema_50100__rbo_20_equity_convex
rbo_50__rsma_50100150_equity_constant,10576.499999999993,5.764999999999931,-17.53014836940599,rbo_50__rsma_50100150,75.0,rbo_50__rsma_50100150_equity_constant
rbo_100__rbo_20_equity_constant,10572.174700000005,5.721747000000055,-19.999036288517267,rbo_100__rbo_20,108.0,rbo_100__rbo_20_equity_constant
rsma_100150__rema_50100150_equity_constant,10533.967899999981,5.339678999999808,-13.819999124816212,rsma_100150__rema_50100150,129.0,rsma_100150__rema_50100150_equity_constant
rsma_50100150__rtt_5020_equity_constant,10478.264100000011,4.782641000000121,-17.662616165551476,rsma_50100150__rtt_5020,12.0,rsma_50100150__rtt_5020_equity_constant
rsma_100150__rtt_5020_equity_constant,10456.718699999992,4.567186999999917,-19.35953434038133,rsma_100150__rtt_5020,39.0,rsma_100150__rtt_5020_equity_constant
rsma_50100__rema_50100_equity_constant,10450.690399999994,4.506903999999934,-19.718139584856406,rsma_50100__rema_50100,9.0,rsma_50100__rema_50100_equity_constant
rema_100150__rema_50100150_equity_constant,10433.927799999996,4.339277999999958,-11.759896495458824,rema_100150__rema_50100150,153.0,rema_100150__rema_50100150_equity_constant
rsma_50100__rsma_50100_equity_constant,10431.616799999989,4.316167999999898,-16.437289651959375,rsma_50100__rsma_50100,4.0,rsma_50100__rsma_50100_equity_constant
rema_50100__rsma_50100_equity_constant,10421.222100000015,4.21222100000016,-20.94420935476851,rema_50100__rsma_50100,31.0,rema_50100__rsma_50100_equity_constant
rtt_5020_equity_concave,10376.703700000024,3.7670370000002285,-72.68102486460594,rtt_5020,,rtt_5020_equity_concave
rbo_50__rema_50100_equity_constant,10372.505000000006,3.725050000000074,-19.718139584856406,rbo_50__rema_50100,7.0,rbo_50__rema_50100_equity_constant
rtt_5020_equity_convex,10345.894400000001,3.4589440000000193,-72.76155980284858,rtt_5020,,rtt_5020_equity_convex
rsma_100150__rbo_20_equity_constant,10264.2936,2.642936000000007,-16.09414763723112,rsma_100150__rbo_20,72.0,rsma_100150__rbo_20_equity_constant
rbo_100__rbo_50_equity_constant,10249.779199999992,2.49779199999991,-22.951232811197983,rbo_100__rbo_50,63.0,rbo_100__rbo_50_equity_constant
rbo_50__rema_50100150_equity_constant,10243.103799999988,2.4310379999998855,-14.808590954840565,rbo_50__rema_50100150,125.0,rbo_50__rema_50100150_equity_constant
rsma_50100150__rbo_50_equity_constant,10233.315499999988,2.333154999999887,-18.044008217068875,rsma_50100150__rbo_50,24.0,rsma_50100150__rbo_50_equity_constant
rsma_50100__rsma_50100150_equity_equal,10150.359099999996,1.5035909999999708,-1.9200857632712083,rsma_50100__rsma_50100150,103.0,rsma_50100__rsma_50100150_equity_equal
rbo_100__rsma_50100150_equity_equal,10145.351999999988,1.453519999999875,-1.9052074289783252,rbo_100__rsma_50100150,103.0,rbo_100__rsma_50100150_equity_equal
rema_50100__rsma_50100150_equity_equal,10121.622399999987,1.216223999999877,-1.6303117571348797,rema_50100__rsma_50100150,102.0,rema_50100__rsma_50100150_equity_equal
rsma_50100150_equity_equal,10115.060899999995,1.150608999999947,-2.4458405276776523,rsma_50100150,,rsma_50100150_equity_equal
rema_100150__rsma_50100150_equity_equal,10104.843899999993,1.0484389999999344,-1.5188844233407401,rema_100150__rsma_50100150,103.0,rema_100150__rsma_50100150_equity_equal
rsma_50100150__rema_50100150_equity_equal,10102.9239,1.029239000000004,-1.8029825143679938,rsma_50100150__rema_50100150,57.0,rsma_50100150__rema_50100150_equity_equal
rema_50100150__rsma_50100150_equity_equal,10093.121700000002,0.9312170000000064,-1.6351065543253673,rema_50100150__rsma_50100150,6.0,rema_50100150__rsma_50100150_equity_equal
rrg_equity_equal,10089.40489999998,0.8940489999997858,-1.725431397099554,rrg,,rrg_equity_equal
rsma_50100150__rsma_50100150_equity_equal,10088.266199999995,0.8826619999999563,-1.844128960313119,rsma_50100150__rsma_50100150,5.0,rsma_50100150__rsma_50100150_equity_equal
rsma_100150__rsma_50100150_equity_equal,10084.5738,0.845738000000007,-1.8968347477411385,rsma_100150__rsma_50100150,103.0,rsma_100150__rsma_50100150_equity_equal
rema_50100__rbo_100_equity_equal,10084.500599999976,0.8450059999997483,-1.6645224512249301,rema_50100__rbo_100,4.0,rema_50100__rbo_100_equity_equal
rbo_100__rbo_100_equity_equal,10084.000399999974,0.8400039999997277,-1.6646047190734168,rbo_100__rbo_100,2.0,rbo_100__rbo_100_equity_equal
rsma_50100__rbo_100_equity_equal,10081.673400000009,0.8167340000000856,-1.6738117219982758,rsma_50100__rbo_100,7.0,rsma_50100__rbo_100_equity_equal
rbo_50__rbo_100_equity_equal,10081.673400000009,0.8167340000000856,-1.6738117219982758,rbo_50__rbo_100,7.0,rbo_50__rbo_100_equity_equal
rbo_50__rema_100150_equity_equal,10079.864400000002,0.7986440000000261,-1.6563352590175602,rbo_50__rema_100150,19.0,rbo_50__rema_100150_equity_equal
rsma_50100__rema_100150_equity_equal,10079.864400000002,0.7986440000000261,-1.6563352590175602,rsma_50100__rema_100150,19.0,rsma_50100__rema_100150_equity_equal
rbo_50__rtt_5020_equity_constant,10076.214300000001,0.7621430000000151,-18.961380083728223,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020_equity_constant
rbo_50__rbo_50_equity_constant,10076.214300000001,0.7621430000000151,-18.961380083728223,rbo_50__rbo_50,5.0,rbo_50__rbo_50_equity_constant
rema_50100__rema_100150_equity_equal,10073.480499999976,0.7348049999997608,-1.6243581247223255,rema_50100__rema_100150,16.0,rema_50100__rema_100150_equity_equal
rbo_100__rema_100150_equity_equal,10072.980299999974,0.7298029999997402,-1.624438482635808,rbo_100__rema_100150,14.0,rbo_100__rema_100150_equity_equal
rema_50100150_equity_equal,10070.638799999993,0.7063879999999356,-2.031695915646562,rema_50100150,,rema_50100150_equity_equal
rsma_50100150__rsma_100150_equity_equal,10068.898899999997,0.6889889999999621,-1.6554925370280065,rsma_50100150__rsma_100150,43.0,rsma_50100150__rsma_100150_equity_equal
rema_50100150__rema_100150_equity_equal,10065.963500000007,0.6596350000000806,-1.5379985933240186,rema_50100150__rema_100150,16.0,rema_50100150__rema_100150_equity_equal
rema_50100150__rbo_100_equity_equal,10064.127700000006,0.6412770000000734,-1.659039985676714,rema_50100150__rbo_100,4.0,rema_50100150__rbo_100_equity_equal
rema_50100__rema_50100150_equity_equal,10063.628399999987,0.6362839999998648,-1.6535647812864276,rema_50100__rema_50100150,153.0,rema_50100__rema_50100150_equity_equal
rema_50100150__rema_50100150_equity_equal,10063.09270000001,0.6309270000000922,-1.253996199399128,rema_50100150__rema_50100150,4.0,rema_50100150__rema_50100150_equity_equal
rbo_100__rema_50100_equity_equal,10062.22599999997,0.6222599999996969,-1.4203357109947423,rbo_100__rema_50100,22.0,rbo_100__rema_50100_equity_equal
rtt_5020__rbo_100_equity_equal,10061.81700000002,0.6181700000001955,-1.6771028785480362,rtt_5020__rbo_100,7.0,rtt_5020__rbo_100_equity_equal
rsma_50100150__rbo_100_equity_equal,10061.81700000002,0.6181700000001955,-1.6771028785480362,rsma_50100150__rbo_100,7.0,rsma_50100150__rbo_100_equity_equal
rsma_50100150__rema_100150_equity_equal,10060.014100000011,0.6001410000001206,-1.659590943905449,rsma_50100150__rema_100150,19.0,rsma_50100150__rema_100150_equity_equal
rbo_100__rema_50100150_equity_equal,10058.790199999987,0.5879019999998736,-1.6543210450079413,rbo_100__rema_50100150,153.0,rbo_100__rema_50100150_equity_equal
rbo_50__rsma_100150_equity_equal,10057.917099999977,0.5791709999997785,-1.3994210329822039,rbo_50__rsma_100150,43.0,rbo_50__rsma_100150_equity_equal
rsma_50100__rsma_100150_equity_equal,10057.917099999977,0.5791709999997785,-1.3994210329822039,rsma_50100__rsma_100150,43.0,rsma_50100__rsma_100150_equity_equal
rbo_20__rbo_100_equity_equal,10057.67470000002,0.5767470000001884,-1.677791088351804,rbo_20__rbo_100,7.0,rbo_20__rbo_100_equity_equal
rema_100150__rema_100150_equity_equal,10047.769299999985,0.4776929999998458,-1.6284989941503198,rema_100150__rema_100150,2.0,rema_100150__rema_100150_equity_equal
rema_100150__rbo_100_equity_equal,10047.769299999985,0.4776929999998458,-1.6284989941503198,rema_100150__rbo_100,2.0,rema_100150__rbo_100_equity_equal
rtt_5020__rema_100150_equity_equal,10044.925900000013,0.449259000000124,-1.6620741620467456,rtt_5020__rema_100150,16.0,rtt_5020__rema_100150_equity_equal
rbo_20__rbo_20_equity_constant,10044.799100000004,0.44799100000003644,-14.490918008904941,rbo_20__rbo_20,10.0,rbo_20__rbo_20_equity_constant
rbo_20__rema_100150_equity_equal,10040.683900000015,0.4068390000001365,-1.6627736499070627,rbo_20__rema_100150,16.0,rbo_20__rema_100150_equity_equal
rbo_20__rema_50100150_equity_equal,10037.336700000002,0.3733670000000133,-1.2683951863811989,rbo_20__rema_50100150,88.0,rbo_20__rema_50100150_equity_equal
rema_50100150__rsma_100150_equity_equal,10036.255299999995,0.3625529999999433,-1.3343892372406145,rema_50100150__rsma_100150,16.0,rema_50100150__rsma_100150_equity_equal
rbo_100_equity_equal,10035.530500000012,0.3553050000001168,-1.6637505234135284,rbo_100,,rbo_100_equity_equal
rsma_100150__rbo_100_equity_equal,10034.259399999992,0.34259399999991835,-1.6223947624914696,rsma_100150__rbo_100,2.0,rsma_100150__rbo_100_equity_equal
rsma_100150__rema_100150_equity_equal,10034.259399999992,0.34259399999991835,-1.6223947624914696,rsma_100150__rema_100150,2.0,rsma_100150__rema_100150_equity_equal
rtt_5020__rema_50100150_equity_equal,10033.969300000004,0.339693000000052,-1.2435814526815734,rtt_5020__rema_50100150,84.0,rtt_5020__rema_50100150_equity_equal
rsma_100150__rsma_100150_equity_equal,10033.595499999994,0.3359549999999434,-1.553234775138827,rsma_100150__rsma_100150,3.0,rsma_100150__rsma_100150_equity_equal
rema_50100__rsma_100150_equity_equal,10032.485999999974,0.32485999999973814,-1.3958220649793887,rema_50100__rsma_100150,39.0,rema_50100__rsma_100150_equity_equal
rbo_100__rsma_50100_equity_equal,10032.446899999977,0.32446899999976075,-1.1286896467777914,rbo_100__rsma_50100,47.0,rbo_100__rsma_50100_equity_equal
rbo_100__rsma_100150_equity_equal,10031.985799999973,0.31985799999973974,-1.3958913941076725,rbo_100__rsma_100150,37.0,rbo_100__rsma_100150_equity_equal
rema_50100150__rbo_20_equity_equal,10030.73919999999,0.3073919999999175,-1.1245291406339082,rema_50100150__rbo_20,18.0,rema_50100150__rbo_20_equity_equal
rbo_50__rsma_50100150_equity_equal,10029.349299999987,0.2934929999998781,-1.2415663554698901,rbo_50__rsma_50100150,75.0,rbo_50__rsma_50100150_equity_equal
