equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_20__rbo_100_equity_convex,18759.728799999986,87.59728799999986,-65.58886222962458,rbo_20__rbo_100,31.0,rbo_20__rbo_100
rbo_20__rbo_20_equity_convex,17688.45799999999,76.88457999999991,-65.49855980120657,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rbo_20__rbo_100_equity_concave,17367.71769999997,73.67717699999969,-65.58886222962458,rbo_20__rbo_100,31.0,rbo_20__rbo_100
rtt_5020__rbo_100_equity_convex,17003.234399999998,70.03234399999998,-65.58886222962458,rtt_5020__rbo_100,8.0,rtt_5020__rbo_100
rtt_5020__rbo_100_equity_concave,16964.580099999996,69.64580099999995,-65.58886222962458,rtt_5020__rbo_100,8.0,rtt_5020__rbo_100
rbo_50__rbo_100_equity_convex,16865.81309999999,68.65813099999988,-63.91485728410119,rbo_50__rbo_100,8.0,rbo_50__rbo_100
rema_50100150__rbo_100_equity_convex,16390.79580000003,63.907958000000285,-73.45246685374134,rema_50100150__rbo_100,52.0,rema_50100150__rbo_100
rbo_20__rbo_50_equity_concave,16255.593499999992,62.55593499999992,-66.1758008690925,rbo_20__rbo_50,42.0,rbo_20__rbo_50
rbo_50__rbo_100_equity_concave,16161.303299999987,61.613032999999874,-63.91485728410119,rbo_50__rbo_100,8.0,rbo_50__rbo_100
rema_50100150__rbo_100_equity_concave,15970.074500000006,59.70074500000007,-73.45246685374134,rema_50100150__rbo_100,52.0,rema_50100150__rbo_100
rbo_20__rsma_50100150_equity_convex,15830.450500000003,58.30450500000002,-55.26494170518633,rbo_20__rsma_50100150,39.0,rbo_20__rsma_50100150
rbo_20__rbo_50_equity_convex,15746.003400000014,57.46003400000015,-59.48640494203633,rbo_20__rbo_50,42.0,rbo_20__rbo_50
rbo_100__rbo_100_equity_convex,15565.531099999997,55.65531099999996,-72.738780691173,rbo_100__rbo_100,3.0,rbo_100__rbo_100
rbo_100__rbo_100_equity_concave,15530.951999999997,55.30951999999998,-72.738780691173,rbo_100__rbo_100,3.0,rbo_100__rbo_100
rbo_20__rtt_5020_equity_convex,15511.007399999986,55.110073999999855,-60.780309779625455,rbo_20__rtt_5020,7.0,rbo_20__rtt_5020
rbo_100__rtt_5020_equity_convex,15491.343900000018,54.91343900000019,-64.1430533254328,rbo_100__rtt_5020,41.0,rbo_100__rtt_5020
rbo_100__rbo_20_equity_convex,15301.129100000022,53.01129100000021,-63.96022387937761,rbo_100__rbo_20,52.0,rbo_100__rbo_20
rbo_20__rbo_20_equity_concave,14972.114399999979,49.72114399999978,-70.14599821928641,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rbo_20__rsma_50100150_equity_concave,14865.411400000005,48.654114000000035,-55.26494170518633,rbo_20__rsma_50100150,39.0,rbo_20__rsma_50100150
rbo_20__rtt_5020_equity_concave,14754.931899999969,47.54931899999968,-68.34025112037912,rbo_20__rtt_5020,7.0,rbo_20__rtt_5020
rbo_100__rbo_20_equity_concave,14465.627400000005,44.65627400000005,-70.91620622222294,rbo_100__rbo_20,52.0,rbo_100__rbo_20
rbo_100__rtt_5020_equity_concave,14349.791400000026,43.49791400000025,-70.91620622222294,rbo_100__rtt_5020,41.0,rbo_100__rtt_5020
rema_50100150__rtt_5020_equity_convex,12607.607400000026,26.076074000000272,-57.530029498933075,rema_50100150__rtt_5020,59.0,rema_50100150__rtt_5020
rbo_50__rbo_20_equity_convex,12469.654599999998,24.696545999999977,-64.10563040925695,rbo_50__rbo_20,24.0,rbo_50__rbo_20
rsma_50100150__rtt_5020_equity_convex,12397.539000000004,23.97539000000004,-37.72279561164793,rsma_50100150__rtt_5020,45.0,rsma_50100150__rtt_5020
rsma_50100150__rbo_50_equity_convex,12333.43109999999,23.334310999999897,-37.72279561164793,rsma_50100150__rbo_50,78.0,rsma_50100150__rbo_50
rsma_50100150__rbo_20_equity_convex,12259.818100000002,22.598181000000018,-37.72279561164793,rsma_50100150__rbo_20,56.0,rsma_50100150__rbo_20
rema_50100150__rbo_20_equity_convex,12243.08449999999,22.4308449999999,-57.572386964361,rema_50100150__rbo_20,70.0,rema_50100150__rbo_20
rsma_50100150__rtt_5020_equity_concave,12074.841299999982,20.74841299999981,-41.73674792522664,rsma_50100150__rtt_5020,45.0,rsma_50100150__rtt_5020
rsma_50100150__rbo_50_equity_concave,12056.91069999997,20.569106999999697,-43.37771682592694,rsma_50100150__rbo_50,78.0,rsma_50100150__rbo_50
rsma_50100150__rbo_100_equity_convex,12049.10139999998,20.491013999999797,-73.45246685374134,rsma_50100150__rbo_100,46.0,rsma_50100150__rbo_100
rsma_50100150__rbo_100_equity_concave,11874.916399999987,18.749163999999862,-73.45246685374134,rsma_50100150__rbo_100,46.0,rsma_50100150__rbo_100
rema_50100150__rtt_5020_equity_concave,11469.328700000036,14.693287000000366,-69.49034050112881,rema_50100150__rtt_5020,59.0,rema_50100150__rtt_5020
rbo_20__rema_50100150_equity_convex,11445.293199999964,14.452931999999642,-71.95253087819104,rbo_20__rema_50100150,4.0,rbo_20__rema_50100150
rbo_20__rema_50100150_equity_concave,11372.863499999992,13.728634999999922,-72.38942316237949,rbo_20__rema_50100150,4.0,rbo_20__rema_50100150
rsma_50100150__rbo_20_equity_concave,11300.126599999972,13.001265999999735,-40.12536670200768,rsma_50100150__rbo_20,56.0,rsma_50100150__rbo_20
rbo_20__rsma_50100150_equity_constant,11195.14080000001,11.951408000000097,-12.992001302475009,rbo_20__rsma_50100150,39.0,rbo_20__rsma_50100150
rema_50100150__rbo_100_equity_constant,11032.979999999996,10.329799999999967,-15.181000086133913,rema_50100150__rbo_100,52.0,rema_50100150__rbo_100
rbo_20__rbo_20_equity_constant,11003.1658,10.03165800000001,-17.146950604287873,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rbo_20__rbo_100_equity_constant,10991.39749999999,9.913974999999908,-16.002976787305045,rbo_20__rbo_100,31.0,rbo_20__rbo_100
rbo_100__rbo_20_equity_constant,10963.6842,9.63684199999999,-19.376660976835783,rbo_100__rbo_20,52.0,rbo_100__rbo_20
rbo_100__rtt_5020_equity_constant,10894.626800000007,8.946268000000067,-18.729526647117268,rbo_100__rtt_5020,41.0,rbo_100__rtt_5020
rema_50100150__rbo_20_equity_concave,10866.516200000011,8.665162000000116,-69.30791703115956,rema_50100150__rbo_20,70.0,rema_50100150__rbo_20
rsma_50100150__rbo_50_equity_constant,10801.791199999998,8.01791199999997,-8.629737823357367,rsma_50100150__rbo_50,78.0,rsma_50100150__rbo_50
rema_50100150__rbo_20_equity_constant,10749.214299999998,7.4921429999999845,-16.79026470861184,rema_50100150__rbo_20,70.0,rema_50100150__rbo_20
rema_50100150__rtt_5020_equity_constant,10682.094500000005,6.820945000000056,-16.54878387405347,rema_50100150__rtt_5020,59.0,rema_50100150__rtt_5020
rbo_20__rtt_5020_equity_constant,10660.899699999994,6.60899699999995,-15.842440149121135,rbo_20__rtt_5020,7.0,rbo_20__rtt_5020
rbo_20__rbo_50_equity_constant,10654.980200000002,6.549802000000016,-15.372360976993956,rbo_20__rbo_50,42.0,rbo_20__rbo_50
rtt_5020__rbo_100_equity_constant,10629.717299999997,6.297172999999967,-16.002976787305045,rtt_5020__rbo_100,8.0,rtt_5020__rbo_100
rbo_50__rbo_100_equity_constant,10615.669899999994,6.156698999999932,-14.7045911749209,rbo_50__rbo_100,8.0,rbo_50__rbo_100
rsma_50100150__rsma_50100150_equity_constant,10612.632200000002,6.1263220000000285,-13.355243344486729,rsma_50100150__rsma_50100150,5.0,rsma_50100150__rsma_50100150
rsma_50100150__rbo_20_equity_constant,10559.049799999999,5.590497999999999,-10.287254796950291,rsma_50100150__rbo_20,56.0,rsma_50100150__rbo_20
rbo_100__rbo_100_equity_constant,10550.227799999991,5.502277999999916,-16.583917501182185,rbo_100__rbo_100,3.0,rbo_100__rbo_100
rsma_50100150__rtt_5020_equity_constant,10530.138099999996,5.301380999999972,-9.888194201255489,rsma_50100150__rtt_5020,45.0,rsma_50100150__rtt_5020
rbo_50__rsma_50100150_equity_convex,10391.17439999999,3.911743999999917,-55.07034364834398,rbo_50__rsma_50100150,34.0,rbo_50__rsma_50100150
rsma_50100150__rbo_100_equity_constant,10234.476899999996,2.3447689999999577,-13.882478862892219,rsma_50100150__rbo_100,46.0,rsma_50100150__rbo_100
rbo_20__rema_50100150_equity_constant,10218.90600000001,2.189060000000098,-31.124463825862325,rbo_20__rema_50100150,4.0,rbo_20__rema_50100150
rsma_50100150_equity_equal,10205.986199999998,2.059861999999968,-4.1814868263922165,rsma_50100150,,rsma_50100150
rtt_5020__rbo_20_equity_convex,10154.072700000008,1.540727000000075,-60.06262326605511,rtt_5020__rbo_20,5.0,rtt_5020__rbo_20
rsma_50100150__rsma_50100150_equity_equal,10149.330200000008,1.4933020000000852,-2.35973632014729,rsma_50100150__rsma_50100150,5.0,rsma_50100150__rsma_50100150
rema_50100150__rbo_100_equity_equal,10143.297100000005,1.4329710000000606,-2.437669463740984,rema_50100150__rbo_100,52.0,rema_50100150__rbo_100
rbo_100__rbo_50_equity_constant,10126.44900000001,1.264490000000107,-11.422253633465852,rbo_100__rbo_50,56.0,rbo_100__rbo_50
rbo_20__rsma_50100150_equity_equal,10120.087199999994,1.2008719999999418,-1.3387454161857264,rbo_20__rsma_50100150,39.0,rbo_20__rsma_50100150
rrg_equity_equal,10102.2384,1.0223840000000095,-3.236297026749023,rrg,,rrg
rbo_100__rsma_50100150_equity_constant,10098.550299999992,0.9855029999999099,-11.947544204160836,rbo_100__rsma_50100150,51.0,rbo_100__rsma_50100150
rsma_50100150__rbo_20_equity_equal,10090.290700000007,0.9029070000000639,-1.3460736503992106,rsma_50100150__rbo_20,56.0,rsma_50100150__rbo_20
rbo_20__rbo_20_equity_equal,10087.1565,0.8715649999999853,-1.8143770360322113,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rsma_50100150__rbo_50_equity_equal,10084.715100000003,0.8471510000000348,-1.3460736503992106,rsma_50100150__rbo_50,78.0,rsma_50100150__rbo_50
rema_50100150__rbo_20_equity_equal,10084.403300000007,0.8440330000000662,-2.240891846909916,rema_50100150__rbo_20,70.0,rema_50100150__rbo_20
