equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_100__rema_50100150_equity_constant,15708.762700000012,57.08762700000012,-37.75281383425292,rbo_100__rema_50100150,36.0,rbo_100__rema_50100150_equity_constant
rsma_50100__rema_50100150_equity_constant,15584.247800000008,55.842478000000085,-40.00346060039256,rsma_50100__rema_50100150,36.0,rsma_50100__rema_50100150_equity_constant
rsma_50100__rema_100150_equity_constant,14345.19169999999,43.45191699999991,-31.782343779118165,rsma_50100__rema_100150,64.0,rsma_50100__rema_100150_equity_constant
rbo_50__rema_50100150_equity_constant,14205.640500000007,42.056405000000076,-40.36349683225313,rbo_50__rema_50100150,36.0,rbo_50__rema_50100150_equity_constant
rbo_20__rsma_100150_equity_constant,14140.899600000008,41.40899600000007,-37.98176612712233,rbo_20__rsma_100150,35.0,rbo_20__rsma_100150_equity_constant
rsma_100150__rema_50100150_equity_constant,14042.879400000003,40.42879400000003,-37.592598179691,rsma_100150__rema_50100150,37.0,rsma_100150__rema_50100150_equity_constant
rbo_20__rsma_50100150_equity_constant,13986.122099999995,39.86122099999996,-35.24383681463177,rbo_20__rsma_50100150,33.0,rbo_20__rsma_50100150_equity_constant
rtt_5020_equity_constant,13880.2112,38.80211199999999,-42.04986417199155,rtt_5020,,rtt_5020_equity_constant
rbo_100__rsma_100150_equity_constant,13840.866999999987,38.40866999999988,-30.235381497421315,rbo_100__rsma_100150,15.0,rbo_100__rsma_100150_equity_constant
rsma_50100__rsma_100150_equity_constant,13812.804299999998,38.12804299999999,-33.7565276326024,rsma_50100__rsma_100150,33.0,rsma_50100__rsma_100150_equity_constant
rbo_20__rbo_20_equity_constant,13804.6799,38.046798999999986,-33.05506265931317,rbo_20__rbo_20,9.0,rbo_20__rbo_20_equity_constant
rtt_5020__rema_50100150_equity_constant,13670.856900000017,36.70856900000017,-38.03766532787089,rtt_5020__rema_50100150,26.0,rtt_5020__rema_50100150_equity_constant
rema_50100150__rema_50100150_equity_constant,13651.251200000006,36.51251200000005,-35.07518222481069,rema_50100150__rema_50100150,4.0,rema_50100150__rema_50100150_equity_constant
rema_50100150__rsma_50100_equity_constant,13572.38929999999,35.7238929999999,-34.293746312031175,rema_50100150__rsma_50100,95.0,rema_50100150__rsma_50100_equity_constant
rbo_20__rema_50100150_equity_constant,13553.610100000002,35.536101000000016,-35.06470059679397,rbo_20__rema_50100150,26.0,rbo_20__rema_50100150_equity_constant
rsma_50100__rema_50100_equity_constant,13518.563099999992,35.185630999999916,-28.335040215286977,rsma_50100__rema_50100,45.0,rsma_50100__rema_50100_equity_constant
rbo_100__rsma_50100_equity_constant,13499.457099999994,34.994570999999944,-27.38735491448918,rbo_100__rsma_50100,24.0,rbo_100__rsma_50100_equity_constant
rsma_100150__rsma_50100150_equity_constant,13376.08409999999,33.7608409999999,-33.84413100668676,rsma_100150__rsma_50100150,39.0,rsma_100150__rsma_50100150_equity_constant
rema_50100150__rtt_5020_equity_constant,13374.060200000009,33.74060200000009,-34.87001031007742,rema_50100150__rtt_5020,72.0,rema_50100150__rtt_5020_equity_constant
rsma_50100__rbo_50_equity_constant,13340.006400000004,33.40006400000004,-29.613133581131258,rsma_50100__rbo_50,17.0,rsma_50100__rbo_50_equity_constant
rsma_50100__rsma_50100_equity_constant,13323.675899999997,33.236758999999964,-31.998378542137317,rsma_50100__rsma_50100,5.0,rsma_50100__rsma_50100_equity_constant
rtt_5020__rsma_100150_equity_constant,13260.479800000003,32.604798000000024,-37.05371692789829,rtt_5020__rsma_100150,16.0,rtt_5020__rsma_100150_equity_constant
rsma_50100__rtt_5020_equity_constant,13154.346899999997,31.54346899999996,-28.620436759841233,rsma_50100__rtt_5020,14.0,rsma_50100__rtt_5020_equity_constant
rtt_5020__rbo_20_equity_constant,13061.695399999997,30.616953999999975,-32.44021937731767,rtt_5020__rbo_20,7.0,rtt_5020__rbo_20_equity_constant
rbo_50__rsma_100150_equity_constant,13033.315399999996,30.33315399999996,-35.95753816130084,rbo_50__rsma_100150,31.0,rbo_50__rsma_100150_equity_constant
rbo_20__rsma_50100_equity_constant,13005.16049999999,30.051604999999903,-29.14241784340879,rbo_20__rsma_50100,38.0,rbo_20__rsma_50100_equity_constant
rsma_50100__rsma_50100150_equity_constant,12869.1589,28.691588999999993,-28.046383945888586,rsma_50100__rsma_50100150,46.0,rsma_50100__rsma_50100150_equity_constant
rbo_100__rsma_50100150_equity_constant,12654.503000000006,26.545030000000057,-22.537895875021363,rbo_100__rsma_50100150,41.0,rbo_100__rsma_50100150_equity_constant
rbo_100__rtt_5020_equity_constant,12618.998399999999,26.18998399999999,-21.546901788300723,rbo_100__rtt_5020,9.0,rbo_100__rtt_5020_equity_constant
rbo_100__rema_100150_equity_constant,12608.840199999991,26.08840199999991,-21.067364978426465,rbo_100__rema_100150,50.0,rbo_100__rema_100150_equity_constant
rsma_50100__rbo_100_equity_constant,12561.626400000017,25.616264000000164,-24.999873843008906,rsma_50100__rbo_100,29.0,rsma_50100__rbo_100_equity_constant
rema_50100150__rbo_20_equity_constant,12499.407100000022,24.99407100000022,-37.05996616129794,rema_50100150__rbo_20,112.0,rema_50100150__rbo_20_equity_constant
rema_50100150__rbo_50_equity_constant,12409.469899999986,24.094698999999853,-30.67391492146159,rema_50100150__rbo_50,95.0,rema_50100150__rbo_50_equity_constant
rbo_20__rema_100150_equity_constant,12336.124499999993,23.36124499999992,-26.880704360936253,rbo_20__rema_100150,64.0,rbo_20__rema_100150_equity_constant
rbo_100__rbo_100_equity_constant,12308.0708,23.080707999999994,-21.546901788300723,rbo_100__rbo_100,3.0,rbo_100__rbo_100_equity_constant
rbo_100__rbo_50_equity_constant,12210.706600000001,22.10706600000001,-21.546901788300723,rbo_100__rbo_50,13.0,rbo_100__rbo_50_equity_constant
rema_50100150__rsma_100150_equity_constant,12099.757100000003,20.997571000000015,-35.13889020773147,rema_50100150__rsma_100150,102.0,rema_50100150__rsma_100150_equity_constant
rbo_100__rbo_20_equity_constant,12002.1582,20.021581999999995,-23.886843178658992,rbo_100__rbo_20,48.0,rbo_100__rbo_20_equity_constant
rsma_50100__rbo_20_equity_constant,11975.212400000006,19.75212400000006,-28.871150808090242,rsma_50100__rbo_20,59.0,rsma_50100__rbo_20_equity_constant
rsma_100150__rtt_5020_equity_constant,11946.08820000001,19.46088200000009,-23.559016018570578,rsma_100150__rtt_5020,19.0,rsma_100150__rtt_5020_equity_constant
rsma_50100150__rema_50100150_equity_constant,11916.247200000007,19.162472000000076,-35.93380560642682,rsma_50100150__rema_50100150,22.0,rsma_50100150__rema_50100150_equity_constant
rtt_5020__rsma_50100_equity_constant,11886.607999999998,18.866079999999986,-27.179264994190977,rtt_5020__rsma_50100,15.0,rtt_5020__rsma_50100_equity_constant
rsma_100150__rsma_100150_equity_constant,11879.964399999997,18.799643999999983,-28.06678618583942,rsma_100150__rsma_100150,4.0,rsma_100150__rsma_100150_equity_constant
rbo_50__rema_100150_equity_constant,11848.358999999995,18.48358999999995,-27.54322300005243,rbo_50__rema_100150,64.0,rbo_50__rema_100150_equity_constant
