equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100150__rsma_50100150_equity_concave,23912.003599999956,139.12003599999957,-70.88446560120755,rsma_50100150__rsma_50100150,4.0,rsma_50100150__rsma_50100150
rbo_50__rbo_100_equity_convex,21962.253600000025,119.62253600000024,-76.38627769003524,rbo_50__rbo_100,10.0,rbo_50__rbo_100
rbo_50__rbo_100_equity_concave,21962.16270000003,119.6216270000003,-76.38627769003524,rbo_50__rbo_100,10.0,rbo_50__rbo_100
rsma_50100150__rbo_100_equity_concave,21472.721599999997,114.72721599999996,-79.10304413658865,rsma_50100150__rbo_100,2.0,rsma_50100150__rbo_100
rsma_50100150__rbo_100_equity_convex,21472.721599999997,114.72721599999996,-79.10304413658865,rsma_50100150__rbo_100,2.0,rsma_50100150__rbo_100
rsma_50100150__rsma_50100150_equity_convex,21163.149499999956,111.63149499999956,-62.99772669623227,rsma_50100150__rsma_50100150,4.0,rsma_50100150__rsma_50100150
rsma_50100150__rtt_5020_equity_convex,19692.15909999999,96.9215909999999,-80.27035516060532,rsma_50100150__rtt_5020,12.0,rsma_50100150__rtt_5020
rsma_50100150__rtt_5020_equity_concave,18809.65649999999,88.0965649999999,-80.27035516060532,rsma_50100150__rtt_5020,12.0,rsma_50100150__rtt_5020
rbo_20__rbo_100_equity_concave,15118.0038,51.180037999999996,-84.20149057649198,rbo_20__rbo_100,12.0,rbo_20__rbo_100
rbo_20__rbo_100_equity_convex,15117.730100000006,51.177301000000064,-84.20149057649198,rbo_20__rbo_100,12.0,rbo_20__rbo_100
rtt_5020__rbo_100_equity_convex,15055.56089999999,50.55560899999989,-84.20149057649198,rtt_5020__rbo_100,6.0,rtt_5020__rbo_100
rtt_5020__rbo_100_equity_concave,15055.46289999999,50.55462899999989,-84.20149057649198,rtt_5020__rbo_100,6.0,rtt_5020__rbo_100
rsma_50100150__rbo_20_equity_concave,11747.087299999916,17.470872999999166,-60.6511665315821,rsma_50100150__rbo_20,29.0,rsma_50100150__rbo_20
