equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100__rema_50100_equity_concave,44792.093499999995,347.920935,-103.50571848132081,rsma_50100__rema_50100,6.0,rsma_50100__rema_50100_equity_concave
rsma_50100__rbo_100_equity_concave,44713.68969999996,347.1368969999996,-103.48416372471847,rsma_50100__rbo_100,10.0,rsma_50100__rbo_100_equity_concave
rsma_50100__rema_50100_equity_convex,36390.97619999998,263.90976199999983,-104.31503868258416,rsma_50100__rema_50100,6.0,rsma_50100__rema_50100_equity_convex
rsma_50100__rbo_100_equity_convex,34943.249599999974,249.43249599999976,-104.46751496620715,rsma_50100__rbo_100,10.0,rsma_50100__rbo_100_equity_convex
rbo_100__rema_50100_equity_concave,32661.61849999999,226.61618499999992,-99.76366572281164,rbo_100__rema_50100,2.0,rbo_100__rema_50100_equity_concave
rbo_100__rema_50100_equity_convex,31817.137500000004,218.17137500000007,-99.75739300872054,rbo_100__rema_50100,2.0,rbo_100__rema_50100_equity_convex
rema_50100__rbo_100_equity_concave,31552.285700000004,215.52285700000002,-98.33484076242375,rema_50100__rbo_100,12.0,rema_50100__rbo_100_equity_concave
rbo_50__rema_50100_equity_concave,28646.5916,186.465916,-111.44881298897702,rbo_50__rema_50100,2.0,rbo_50__rema_50100_equity_concave
rtt_5020__rema_50100_equity_concave,28646.5916,186.465916,-111.44881298897702,rtt_5020__rema_50100,2.0,rtt_5020__rema_50100_equity_concave
rtt_5020__rema_50100_equity_convex,27771.402199999982,177.71402199999983,-111.80961147147264,rtt_5020__rema_50100,2.0,rtt_5020__rema_50100_equity_convex
rbo_50__rema_50100_equity_convex,27771.402199999982,177.71402199999983,-111.80961147147264,rbo_50__rema_50100,2.0,rbo_50__rema_50100_equity_convex
rema_50100__rbo_100_equity_convex,23290.34080000001,132.9034080000001,-90.74134630095234,rema_50100__rbo_100,12.0,rema_50100__rbo_100_equity_convex
rema_50100__rema_50100_equity_concave,22587.171799999996,125.87171799999996,-114.52016537989054,rema_50100__rema_50100,2.0,rema_50100__rema_50100_equity_concave
rema_50100__rema_50100_equity_convex,22147.123899999988,121.4712389999999,-114.80867093537144,rema_50100__rema_50100,2.0,rema_50100__rema_50100_equity_convex
rbo_100__rbo_100_equity_concave,20817.7138,108.17713800000001,-99.63198846400789,rbo_100__rbo_100,2.0,rbo_100__rbo_100_equity_concave
rbo_100__rbo_100_equity_convex,20817.7138,108.17713800000001,-99.63198846400789,rbo_100__rbo_100,2.0,rbo_100__rbo_100_equity_convex
rbo_100__rtt_5020_equity_concave,18841.510800000007,88.41510800000007,-99.59031629247058,rbo_100__rtt_5020,17.0,rbo_100__rtt_5020_equity_concave
rsma_50100__rsma_50100_equity_concave,18394.189199999993,83.94189199999992,-106.67843843463245,rsma_50100__rsma_50100,2.0,rsma_50100__rsma_50100_equity_concave
rsma_50100__rsma_50100_equity_convex,17599.090700000015,75.99090700000015,-106.67843843463245,rsma_50100__rsma_50100,2.0,rsma_50100__rsma_50100_equity_convex
rbo_100__rtt_5020_equity_convex,17307.8462,73.07846199999999,-99.55401383217747,rbo_100__rtt_5020,17.0,rbo_100__rtt_5020_equity_convex
rbo_100__rbo_50_equity_concave,17054.3664,70.54366399999998,-99.54738512009453,rbo_100__rbo_50,28.0,rbo_100__rbo_50_equity_concave
rbo_100__rsma_50100_equity_concave,16874.553200000006,68.74553200000007,-88.6373323782534,rbo_100__rsma_50100,30.0,rbo_100__rsma_50100_equity_concave
rsma_50100__rema_100150_equity_concave,16625.793199999986,66.25793199999985,-152.64910733016052,rsma_50100__rema_100150,1.0,rsma_50100__rema_100150_equity_concave
rsma_50100__rema_100150_equity_convex,16625.793199999986,66.25793199999985,-152.64910733016052,rsma_50100__rema_100150,1.0,rsma_50100__rema_100150_equity_convex
rbo_100__rsma_50100_equity_convex,16116.062599999992,61.160625999999915,-69.0733845045577,rbo_100__rsma_50100,30.0,rbo_100__rsma_50100_equity_convex
rbo_20__rema_50100_equity_concave,15663.130200000009,56.63130200000008,-121.17824698922568,rbo_20__rema_50100,14.0,rbo_20__rema_50100_equity_concave
rtt_5020__rbo_100_equity_concave,15075.7978,50.757977999999994,-96.54113830112968,rtt_5020__rbo_100,3.0,rtt_5020__rbo_100_equity_concave
rbo_50__rbo_100_equity_concave,15075.7978,50.757977999999994,-96.54113830112968,rbo_50__rbo_100,3.0,rbo_50__rbo_100_equity_concave
rbo_100__rsma_50100150_equity_convex,14635.280499999999,46.35280499999999,-61.10784552438198,rbo_100__rsma_50100150,88.0,rbo_100__rsma_50100150_equity_convex
rsma_50100__rtt_5020_equity_convex,14488.75019999999,44.88750199999989,-109.75141147669288,rsma_50100__rtt_5020,14.0,rsma_50100__rtt_5020_equity_convex
rbo_100__rbo_50_equity_convex,14226.285799999992,42.262857999999916,-99.45740862312776,rbo_100__rbo_50,28.0,rbo_100__rbo_50_equity_convex
